Date,Visitor,AWAYPTS,Home,HOMEPTS,OT
11/05/19,Virginia Tech,67,Clemson,60,
11/05/19,Louisville,87,Miami (FL),74,
11/05/19,Georgia Tech,82,North Carolina State,81,OT
11/06/19,Wake Forest,70,Boston College,77,
11/06/19,Notre Dame,65,North Carolina,76,
11/06/19,Florida State,61,Pittsburgh,63,
11/06/19,Virginia,48,Syracuse,34,
12/06/19,Pittsburgh,46,Louisville,64,
12/06/19,Duke,77,Virginia Tech,63,
12/07/19,Syracuse,97,Georgia Tech,63,
12/07/19,Boston College,73,Notre Dame,72,
12/07/19,North Carolina State,91,Wake Forest,82,
12/08/19,Clemson,53,Florida State,72,
12/08/19,North Carolina,47,Virginia,56,
12/31/19,Miami (FL),73,Clemson,68,OT
12/31/19,Boston College,49,Duke,88,
12/31/19,Georgia Tech,58,Florida State,70,
01/04/20,North Carolina State,70,Clemson,81,
01/04/20,Florida State,78,Louisville,65,
01/04/20,Duke,95,Miami (FL),62,
01/04/20,Georgia Tech,96,North Carolina,83,
01/04/20,Wake Forest,69,Pittsburgh,65,
01/04/20,Notre Dame,88,Syracuse,87,
01/04/20,Virginia Tech,39,Virginia,65,
01/07/20,Virginia,53,Boston College,60,
01/07/20,Miami (FL),58,Louisville,74,
01/07/20,Virginia Tech,67,Syracuse,63,
01/08/20,Duke,73,Georgia Tech,64,
01/08/20,Pittsburgh,73,North Carolina,65,
01/08/20,Notre Dame,68,North Carolina State,73,
01/08/20,Florida State,78,Wake Forest,68,
01/11/20,Georgia Tech,71,Boston College,52,
01/11/20,Wake Forest,59,Duke,90,
01/11/20,Clemson,79,North Carolina,76,OT
01/11/20,Louisville,67,Notre Dame,64,
01/11/20,Syracuse,63,Virginia,55,OT
01/11/20,North Carolina State,58,Virginia Tech,72,
01/12/20,Pittsburgh,58,Miami (FL),66,
01/14/20,Duke,72,Clemson,79,
01/14/20,Louisville,73,Pittsburgh,68,OT
01/14/20,Virginia Tech,80,Wake Forest,70,
01/15/20,Virginia,50,Florida State,54,
01/15/20,Notre Dame,78,Georgia Tech,74,
01/15/20,Miami (FL),63,North Carolina State,80,
01/15/20,Boston College,50,Syracuse,76,
01/18/20,Louisville,79,Duke,73,
01/18/20,Virginia,63,Georgia Tech,58,
01/18/20,Florida State,83,Miami (FL),79,OT
01/18/20,Clemson,54,North Carolina State,60,
01/18/20,North Carolina,52,Pittsburgh,66,
01/18/20,Syracuse,71,Virginia Tech,69,
01/19/20,Boston College,62,Wake Forest,80,
01/20/20,North Carolina State,53,Virginia,51,
01/21/20,Wake Forest,68,Clemson,71,
01/21/20,Miami (FL),59,Duke,89,
01/22/20,Georgia Tech,64,Louisville,68,
01/22/20,Syracuse,84,Notre Dame,82,
01/22/20,Boston College,72,Pittsburgh,74,
01/22/20,North Carolina,77,Virginia Tech,79,2OT
01/25/20,Virginia Tech,56,Boston College,61,
01/25/20,Notre Dame,84,Florida State,85,
01/25/20,North Carolina State,58,Georgia Tech,64,
01/25/20,Clemson,62,Louisville,80,
01/25/20,Miami (FL),71,North Carolina,94,
01/25/20,Pittsburgh,61,Syracuse,69,
01/26/20,Virginia,65,Wake Forest,63,OT
01/27/20,North Carolina,75,North Carolina State,65,
01/28/20,Syracuse,70,Clemson,71,
01/28/20,Pittsburgh,67,Duke,79,
01/28/20,Virginia Tech,61,Miami (FL),71,
01/28/20,Florida State,56,Virginia,61,
01/29/20,Louisville,86,Boston College,69,
01/29/20,Wake Forest,80,Notre Dame,90,
02/01/20,Boston College,71,North Carolina,70,
02/01/20,Louisville,77,North Carolina State,57,
02/01/20,Georgia Tech,72,Notre Dame,80,
02/01/20,Duke,97,Syracuse,88,
02/01/20,Florida State,74,Virginia Tech,63,
02/01/20,Clemson,44,Wake Forest,56,
02/02/20,Miami (FL),57,Pittsburgh,62,
02/03/20,North Carolina,59,Florida State,65,
02/04/20,Duke,63,Boston College,55,
02/04/20,Virginia Tech,57,Georgia Tech,76,
02/05/20,Wake Forest,76,Louisville,86,
02/05/20,North Carolina State,83,Miami (FL),72,
02/05/20,Pittsburgh,72,Notre Dame,80,
02/05/20,Clemson,44,Virginia,51,
02/08/20,Miami (FL),81,Florida State,99,
02/08/20,Virginia,73,Louisville,80,
02/08/20,Duke,98,North Carolina,96,OT
02/08/20,Georgia Tech,64,Pittsburgh,73,
02/08/20,Wake Forest,73,Syracuse,75,
02/08/20,Boston College,77,Virginia Tech,73,OT
02/09/20,Notre Dame,61,Clemson,57,
02/10/20,Florida State,65,Duke,70,
02/11/20,North Carolina State,79,Syracuse,74,
02/11/20,Notre Dame,49,Virginia,50,OT
02/11/20,North Carolina,57,Wake Forest,74,
02/12/20,Louisville,58,Georgia Tech,64,
02/12/20,Boston College,58,Miami (FL),85,
02/12/20,Clemson,72,Pittsburgh,52,
02/15/20,Louisville,62,Clemson,77,
02/15/20,Notre Dame,60,Duke,94,
02/15/20,Syracuse,77,Florida State,80,
02/15/20,Wake Forest,54,Miami (FL),71,
02/15/20,Virginia,64,North Carolina,62,
02/15/20,Pittsburgh,57,Virginia Tech,67,
02/16/20,North Carolina State,68,Boston College,71,
02/17/20,North Carolina,76,Notre Dame,77,
02/18/20,Pittsburgh,67,Florida State,82,
02/19/20,Syracuse,66,Louisville,90,
02/19/20,Duke,66,North Carolina State,88,
02/19/20,Boston College,65,Virginia,78,
02/19/20,Miami (FL),102,Virginia Tech,95,3OT
02/19/20,Georgia Tech,86,Wake Forest,79,
02/22/20,Clemson,82,Boston College,64,
02/22/20,Virginia Tech,64,Duke,88,
02/22/20,North Carolina,55,Louisville,72,
02/22/20,Florida State,67,North Carolina State,61,
02/22/20,Virginia,59,Pittsburgh,56,
02/22/20,Georgia Tech,72,Syracuse,79,
02/23/20,Miami (FL),71,Notre Dame,87,
02/24/20,Louisville,67,Florida State,82,
02/25/20,Clemson,59,Georgia Tech,68,
02/25/20,North Carolina State,79,North Carolina,85,
02/25/20,Duke,101,Wake Forest,113,2OT
02/26/20,Notre Dame,62,Boston College,61,
02/26/20,Syracuse,72,Pittsburgh,49,
02/26/20,Virginia,56,Virginia Tech,53,
02/29/20,Florida State,69,Clemson,70,
02/29/20,Miami (FL),57,Georgia Tech,63,
02/29/20,Pittsburgh,73,North Carolina State,77,
02/29/20,North Carolina,92,Syracuse,79,
02/29/20,Duke,50,Virginia,52,
02/29/20,Notre Dame,73,Wake Forest,84,
03/01/20,Virginia Tech,52,Louisville,68,
03/02/20,North Carolina State,69,Duke,88,
03/03/20,Syracuse,,Boston College,,
03/03/20,Wake Forest,,North Carolina,,
03/04/20,Pittsburgh,,Georgia Tech,,
03/04/20,Virginia,,Miami (FL),,
03/04/20,Florida State,,Notre Dame,,
03/04/20,Clemson,,Virginia Tech,,
03/06/20,Georgia Tech,,Clemson,,
03/06/20,Wake Forest,,North Carolina State,,
03/07/20,North Carolina,,Duke,,
03/07/20,Boston College,,Florida State,,
03/07/20,Syracuse,,Miami (FL),,
03/07/20,Virginia Tech,,Notre Dame,,
03/07/20,Louisville,,Virginia,,
