Date,Visitor,AWAYPTS,Home,HOMEPTS,OT
12/30/19,Seton Hall,74,DePaul,66,
12/30/19,Xavier,62,Villanova,68,
12/31/19,Georgetown,60,Providence,76,
12/31/19,Butler,60,St. John's (NY),58,
01/01/20,Marquette,75,Creighton,92,
01/03/20,Georgetown,62,Seton Hall,78,
01/04/20,Creighton,57,Butler,71,
01/04/20,Providence,66,DePaul,65,
01/04/20,Villanova,60,Marquette,71,
01/05/20,St. John's (NY),67,Xavier,75,
01/07/20,Villanova,64,Creighton,59,
01/07/20,Providence,81,Marquette,80,OT
01/08/20,St. John's (NY),66,Georgetown,87,
01/08/20,Seton Hall,83,Xavier,71,
01/10/20,Butler,70,Providence,58,
01/11/20,Marquette,55,Seton Hall,69,
01/11/20,DePaul,67,St. John's (NY),74,
01/11/20,Georgetown,66,Villanova,80,
01/11/20,Creighton,77,Xavier,65,
01/14/20,DePaul,75,Villanova,79,OT
01/15/20,Seton Hall,78,Butler,70,
01/15/20,Creighton,80,Georgetown,83,
01/15/20,Xavier,65,Marquette,85,
01/15/20,St. John's (NY),58,Providence,63,
01/18/20,Providence,74,Creighton,78,
01/18/20,Butler,66,DePaul,79,
01/18/20,Marquette,84,Georgetown,80,
01/18/20,Seton Hall,82,St. John's (NY),79,
01/21/20,St. John's (NY),68,Marquette,82,
01/21/20,Butler,61,Villanova,76,
01/22/20,Creighton,83,DePaul,68,
01/22/20,Providence,64,Seton Hall,73,
01/22/20,Georgetown,57,Xavier,66,
01/24/20,Marquette,85,Butler,89,OT
01/25/20,St. John's (NY),79,DePaul,66,
01/25/20,Villanova,64,Providence,60,
01/26/20,Xavier,66,Creighton,77,
01/28/20,Butler,69,Georgetown,64,
01/28/20,Villanova,79,St. John's (NY),59,
01/29/20,DePaul,57,Seton Hall,64,
01/29/20,Marquette,84,Xavier,82,2OT
02/01/20,Providence,65,Butler,61,
02/01/20,DePaul,72,Marquette,76,
02/01/20,Xavier,74,Seton Hall,62,
02/01/20,Creighton,76,Villanova,61,
02/02/20,Georgetown,73,St. John's (NY),72,
02/04/20,Xavier,67,DePaul,59,
02/05/20,Villanova,76,Butler,79,
02/05/20,Seton Hall,78,Georgetown,71,
02/05/20,Creighton,56,Providence,73,
02/08/20,St. John's (NY),82,Creighton,94,
02/08/20,DePaul,72,Georgetown,76,
02/08/20,Seton Hall,70,Villanova,64,
02/08/20,Providence,58,Xavier,64,
02/09/20,Butler,57,Marquette,76,
02/12/20,Xavier,61,Butler,66,
02/12/20,Creighton,87,Seton Hall,82,
02/12/20,Providence,69,St. John's (NY),80,
02/12/20,Marquette,71,Villanova,72,
02/15/20,Georgetown,73,Butler,66,
02/15/20,DePaul,64,Creighton,93,
02/15/20,Seton Hall,71,Providence,74,
02/17/20,Xavier,77,St. John's (NY),74,
02/18/20,Creighton,73,Marquette,65,
02/19/20,Villanova,91,DePaul,71,
02/19/20,Providence,73,Georgetown,63,
02/19/20,Butler,72,Seton Hall,74,
02/22/20,Georgetown,68,DePaul,74,
02/22/20,Marquette,72,Providence,84,
02/22/20,Villanova,64,Xavier,55,
02/23/20,Butler,59,Creighton,81,
02/23/20,St. John's (NY),65,Seton Hall,81,
02/25/20,DePaul,67,Xavier,78,
02/26/20,Georgetown,72,Marquette,93,
02/26/20,St. John's (NY),60,Villanova,71,
02/29/20,DePaul,42,Butler,60,
02/29/20,Seton Hall,88,Marquette,79,
02/29/20,Providence,58,Villanova,54,
03/01/20,Xavier,66,Georgetown,63,
03/01/20,Creighton,71,St. John's (NY),91,
03/03/20,Marquette,,DePaul,,
03/04/20,St. John's (NY),,Butler,,
03/04/20,Georgetown,,Creighton,,
03/04/20,Xavier,,Providence,,
03/04/20,Villanova,,Seton Hall,,
03/07/20,Seton Hall,,Creighton,,
03/07/20,Villanova,,Georgetown,,
03/07/20,DePaul,,Providence,,
03/07/20,Marquette,,St. John's (NY),,
03/07/20,Butler,,Xavier,,
