Date,Visitor,AWAYPTS,Home,HOMEPTS,OT
01/02/20,Oregon,65,Colorado,74,
01/02/20,University of California,52,Stanford,68,
01/02/20,Oregon State,69,Utah,81,
01/02/20,UCLA,66,Washington,64,
01/02/20,Southern California,65,Washington State,56,
01/04/20,Arizona State,47,Arizona,75,
01/04/20,Oregon,69,Utah,64,
01/04/20,UCLA,71,Washington State,79,OT
01/05/20,Oregon State,76,Colorado,68,
01/05/20,Southern California,40,Washington,72,
01/09/20,Arizona,73,Oregon,74,OT
01/09/20,Arizona State,82,Oregon State,76,
01/09/20,Washington,55,Stanford,61,
01/09/20,Washington State,66,University of California,73,
01/11/20,Arizona State,69,Oregon,78,
01/11/20,Washington State,62,Stanford,88,
01/11/20,Southern California,74,UCLA,63,
01/11/20,Washington,58,University of California,61,OT
01/12/20,Utah,52,Colorado,91,
01/12/20,Arizona,65,Oregon State,82,
01/15/20,Stanford,74,UCLA,59,
01/16/20,Utah,77,Arizona,93,
01/16/20,Colorado,68,Arizona State,61,
01/16/20,University of California,56,Southern California,88,
01/16/20,Oregon State,56,Washington,64,
01/16/20,Oregon,61,Washington State,72,
01/18/20,Colorado,54,Arizona,75,
01/18/20,Utah,64,Arizona State,83,
01/18/20,Stanford,78,Southern California,82,OT
01/18/20,Oregon,64,Washington,61,OT
01/18/20,Oregon State,76,Washington State,89,
01/19/20,University of California,40,UCLA,50,
01/23/20,Washington State,56,Colorado,78,
01/23/20,Southern California,70,Oregon,79,2OT
01/23/20,UCLA,62,Oregon State,58,
01/23/20,Washington,66,Utah,67,
01/25/20,Arizona,65,Arizona State,66,
01/25/20,Washington,62,Colorado,76,
01/25/20,Southern California,75,Oregon State,55,
01/25/20,Washington State,64,Utah,76,
01/26/20,UCLA,75,Oregon,96,
01/26/20,Stanford,50,University of California,52,
01/29/20,Arizona State,65,Washington State,67,
01/30/20,Utah,52,Southern California,56,
01/30/20,Oregon State,68,Stanford,63,
01/30/20,Colorado,68,UCLA,72,
01/30/20,Oregon,77,University of California,72,
01/30/20,Arizona,75,Washington,72,
02/01/20,Colorado,78,Southern California,57,
02/01/20,Oregon,60,Stanford,70,
02/01/20,Oregon State,67,University of California,69,
02/01/20,Arizona State,87,Washington,83,
02/01/20,Arizona,66,Washington State,49,
02/02/20,Utah,57,UCLA,73,
02/06/20,Southern California,80,Arizona,85,
02/06/20,UCLA,66,Arizona State,84,
02/06/20,University of California,65,Colorado,71,
02/06/20,Stanford,56,Utah,64,OT
02/08/20,UCLA,65,Arizona,52,
02/08/20,Southern California,64,Arizona State,66,
02/08/20,Stanford,74,Colorado,81,
02/08/20,Oregon,53,Oregon State,63,
02/08/20,University of California,45,Utah,60,
02/09/20,Washington,67,Washington State,79,
02/13/20,Colorado,60,Oregon,68,
02/13/20,Utah,51,Oregon State,70,
02/13/20,Washington,56,Southern California,62,
02/13/20,Arizona State,74,Stanford,69,
02/13/20,Washington State,83,UCLA,86,OT
02/13/20,Arizona,68,University of California,52,
02/15/20,Colorado,69,Oregon State,47,
02/15/20,Washington State,51,Southern California,70,
02/15/20,Arizona,69,Stanford,60,
02/15/20,Washington,57,UCLA,67,
02/16/20,Utah,62,Oregon,80,
02/16/20,Arizona State,80,University of California,75,
02/19/20,University of California,66,Washington State,57,
02/20/20,Oregon State,63,Arizona,89,
02/20/20,Oregon,72,Arizona State,77,
02/20/20,Southern California,66,Colorado,70,
02/20/20,UCLA,69,Utah,58,
02/20/20,Stanford,72,Washington,64,
02/22/20,Oregon,73,Arizona,72,OT
02/22/20,Oregon State,73,Arizona State,74,
02/22/20,UCLA,70,Colorado,63,
02/22/20,University of California,52,Washington,87,
02/23/20,Southern California,65,Utah,79,
02/23/20,Stanford,75,Washington State,57,
02/26/20,Utah,62,Stanford,70,
02/27/20,Oregon State,54,Oregon,69,
02/27/20,Arizona,48,Southern California,57,
02/27/20,Arizona State,72,UCLA,75,
02/27/20,Colorado,62,University of California,76,
02/28/20,Washington State,78,Washington,74,
02/29/20,Arizona State,61,Southern California,71,
02/29/20,Arizona,64,UCLA,69,
02/29/20,Utah,79,University of California,86,OT
03/01/20,Colorado,64,Stanford,72,
03/05/20,Washington State,,Arizona,,
03/05/20,Washington,,Arizona State,,
03/05/20,University of California,,Oregon,,
03/05/20,Stanford,,Oregon State,,
03/07/20,Washington,,Arizona,,
03/07/20,Washington State,,Arizona State,,
03/07/20,Stanford,,Oregon,,
03/07/20,University of California,,Oregon State,,
03/07/20,UCLA,,Southern California,,
03/07/20,Colorado,,Utah,,
