Date,Visitor,AWAYPTS,Home,HOMEPTS,OT
01/04/20,Texas A&M,59,Arkansas,69,
01/04/20,Alabama,98,Florida,104,2OT
01/04/20,Missouri,59,Kentucky,71,
01/04/20,Auburn,80,Mississippi State,68,
01/04/20,Louisiana State,78,Tennessee,64,
01/07/20,Kentucky,78,Georgia,69,
01/07/20,Tennessee,69,Missouri,59,
01/07/20,Florida,81,South Carolina,68,
01/07/20,Mississippi,47,Texas A&M,57,
01/08/20,Mississippi State,69,Alabama,90,
01/08/20,Vanderbilt,79,Auburn,83,
01/08/20,Arkansas,77,Louisiana State,79,
01/11/20,Georgia,60,Auburn,82,
01/11/20,Alabama,67,Kentucky,76,
01/11/20,Mississippi State,59,Louisiana State,60,
01/11/20,Arkansas,76,Mississippi,72,
01/11/20,Florida,75,Missouri,91,
01/11/20,South Carolina,55,Tennessee,56,
01/11/20,Texas A&M,69,Vanderbilt,50,
01/14/20,Mississippi,55,Florida,71,
01/14/20,Missouri,45,Mississippi State,72,
01/14/20,Louisiana State,89,Texas A&M,85,OT
01/15/20,Auburn,64,Alabama,83,
01/15/20,Vanderbilt,55,Arkansas,75,
01/15/20,Tennessee,63,Georgia,80,
01/15/20,Kentucky,78,South Carolina,81,
01/18/20,Missouri,74,Alabama,88,
01/18/20,Kentucky,73,Arkansas,66,
01/18/20,Auburn,47,Florida,69,
01/18/20,Louisiana State,80,Mississippi,76,
01/18/20,Georgia,59,Mississippi State,91,
01/18/20,South Carolina,81,Texas A&M,67,
01/18/20,Tennessee,66,Vanderbilt,45,
01/21/20,Georgia,79,Kentucky,89,
01/21/20,Florida,82,Louisiana State,84,
01/21/20,Texas A&M,66,Missouri,64,
01/21/20,Mississippi,48,Tennessee,73,
01/22/20,South Carolina,67,Auburn,80,
01/22/20,Arkansas,70,Mississippi State,77,
01/22/20,Alabama,77,Vanderbilt,62,
01/25/20,Mississippi,70,Georgia,60,
01/25/20,Vanderbilt,64,South Carolina,90,
01/28/20,Mississippi State,78,Florida,71,
01/28/20,Auburn,83,Mississippi,82,2OT
01/28/20,Georgia,69,Missouri,72,
01/28/20,Texas A&M,63,Tennessee,58,
01/29/20,South Carolina,79,Arkansas,77,
01/29/20,Vanderbilt,62,Kentucky,71,
01/29/20,Alabama,76,Louisiana State,90,
02/01/20,Arkansas,82,Alabama,78,
02/01/20,Kentucky,66,Auburn,75,
02/01/20,Texas A&M,48,Georgia,63,
02/01/20,Mississippi,63,Louisiana State,73,
02/01/20,Tennessee,73,Mississippi State,86,
02/01/20,Missouri,54,South Carolina,76,
02/01/20,Florida,61,Vanderbilt,55,
02/04/20,Tennessee,69,Alabama,68,
02/04/20,Auburn,79,Arkansas,76,OT
02/04/20,Mississippi State,72,Kentucky,80,
02/04/20,Missouri,51,Texas A&M,68,
02/05/20,Georgia,75,Florida,81,
02/05/20,South Carolina,70,Mississippi,84,
02/05/20,Louisiana State,90,Vanderbilt,99,
02/08/20,Louisiana State,90,Auburn,91,OT
02/08/20,Alabama,105,Georgia,102,OT
02/08/20,Florida,51,Mississippi,68,
02/08/20,Vanderbilt,70,Mississippi State,80,
02/08/20,Arkansas,79,Missouri,83,OT
02/08/20,Texas A&M,54,South Carolina,74,
02/08/20,Kentucky,77,Tennessee,64,
02/11/20,Missouri,78,Louisiana State,82,
02/11/20,Mississippi State,58,Mississippi,83,
02/11/20,Arkansas,61,Tennessee,82,
02/11/20,Kentucky,78,Vanderbilt,64,
02/12/20,Alabama,91,Auburn,95,OT
02/12/20,South Carolina,75,Georgia,59,
02/12/20,Florida,78,Texas A&M,61,
02/15/20,Louisiana State,82,Alabama,88,
02/15/20,Mississippi State,78,Arkansas,77,
02/15/20,Vanderbilt,66,Florida,84,
02/15/20,Mississippi,62,Kentucky,67,
02/15/20,Auburn,73,Missouri,85,
02/15/20,Tennessee,61,South Carolina,63,
02/15/20,Georgia,69,Texas A&M,74,
02/18/20,Arkansas,59,Florida,73,
02/18/20,Kentucky,79,Louisiana State,76,
02/18/20,Mississippi,68,Missouri,71,
02/18/20,Vanderbilt,61,Tennessee,65,
